Pagan Emilio
Lux Gavin
Bauer Trevor
Stroman Marcus
Castellanos Nicholas
Gallen Zac
Reynolds Bryan
Edman Tommy
Smith Will
Stanek Ryne
Gallegos Giovanny
Harris Will
Stephenson Robert
Haseley Adam
Narvaez Omar
Miley Wade
Pham Tommy
Kimbrel Craig
Yamamoto Jordan
Kintzler Brandon
Davis J.D.
Garcia Avisail
Garcia Yimi
Yastrzemski Mike
Houser Adrian
Hoerner Nico
Jackson Luke
Hudson Daniel
Price David
Greene Shane
Sims Lucas
Anderson Brett
Locastro Tim
Perdomo Luis
d'Arnaud Travis
Hamilton Billy
Gonsolin Tony
Tucker Cole
Pence Hunter
Webb Tyler
Calhoun Kole
Ervin Phillip
Ramirez Harold
Martin Chris
Crichton Stefan
Sogard Eric
Holt Brock
Beaty Matt
Diaz Jairo
Kolarek Adam
Young Alex
Wieck Brad
Hernandez Elieser
Gott Trevor
Cooper Garrett
Aquino Aristides
Knizner Andrew
Vogt Stephen
Sadler Casey
Lopez Yoan
Hernandez Felix
Profar Jurickson
Naylor Josh
Ginkel Kevin
Strop Pedro
Villar Jonathan
Kelly Merrill
Cabrera Asdrubal
Elias Roenis
Sanchez Yolmer
Hilliard Sam
Galvis Freddy
Solano Donovan
Leake Mike
Phegley Josh
Wick Rowan
Dozier Brian
Chatwood Tyler
Estevez Carlos
Voth Austin
Grisham Trent
Melancon Mark
France Ty
Gregorius Didi
Joyce Matt
Rainey Tanner
Bruce Jay
Almora Jr. Albert
Diaz Elias
Porcello Rick
Quantrill Cal
Dubon Mauricio
Lauer Eric
Diaz Isan
Helsley Ryan
Osuna Jose
Gustave Jandel
Davis Wade
Brault Steven
Ryan Kyle
Berti Jon
Wieters Matt
Perez Hernan
Barnes Austin
Marisnick Jake
Harper Ryne
Alexander Scott
Suarez Ranger
Quinn Roman
VanMeter Josh
Bowman Matt
Rogers Tyler
Parker Blake
Fedde Erick
Reyes Gerardo
Heredia Guillermo
Tomlin Josh
Hicks John
Smoak Justin
Rickard Joey
Hoffman Jeff
Webb Logan
Alonso Yonder
Adam Jason
Brinson Lewis
Maile Luke
Castillo Wellington
Wallach Chad
Blevins Jerry
Dickerson Alex
Read Raudy
Strickland Hunter
Daza Yonathan
Treinen Blake
Morin Mike
Rondon Hector
Webb Jacob
Kipnis Jason
Walker Neil
Lester Jon
Guillorme Luis
Gausman Kevin
Rodriguez Ronny
Cahill Trevor
Magneuris Sierra
Jackson Alex
Aguilar Jesus
